identifier,pols_balance
vJGzRrdBgmAlLZWSPm0PkqpnZwj7oD,28
2PJ548MpQrNX0JjSN80eDl6GzbaRqn,15.41155448
VqAbzgR82wre9zlSwvL1OaZEkpyW53,3031.503434
4PX5n3wv6qlrxjYSOm9Zp2M7VWygda,0.000000001
V4EYmXOMvlzW07qSQVxdyZp7JD6Ne8,1891.148873
27vwVn1Q64YO0BmSogL3BRAjl8maMD,3036.735977
vG4oe5E2qnAO9VQSkq0XrYplam6V3k,18.42764493
wq28ZBQl1AnWx64SJD0M4pozDegOJb,0.000787702
rakEJwN1dWeYLRXSVp928Dy3zBvP7K,131.2895536
wogb2YrQ6pJAxlmSDgLqN8B3eavOml,120.8797338
4m7DnNKabZAO9vBS6398Myz6J53vWg,55.29175402
KabnJ8mVyM3G0XNSKjxw5ZR1eDNW7Y,1617.062646
XJ4bYGKnwlev0K7S3d0MkVz1ypR3Ea,14364.76917
q2W6DpjGJOPvxdeSbYL4mQoyVZzgXK,3003.117487
3kQyVE67NM4n9bPSopLeGOW1qX2gYd,331.0605579
jMGElwpKZqWk9QvSzRxy54aoBgbNY2,159.5420982
wQRlYJBjvXAK9DySozx7VZdmrbqn35,0.025782635
ed3a4PpOMYJm0N6S1e0D2X5jK8r7kZ,11.17068811
Mk3zZjrl5O7Dx3nS8J9NnoE1Ye6VbW,57.94634371
6n31vZykGbrVLWDSXk0ojmzlWO42pJ,3589.164073
WJwBXD1av6Ed0gASokxANnY2bmOrz7,2834.996028
D5WzXM3nZAgyxpoS1Q9er1OGQ2bVd7,3000
2RyXqevdko4N9nySwJ0pP5JA6wVnaj,250
MElVo5r3QYAdxrJS46xZNyJDBvO2mj,3000.009473
JYqVAE17ReWB0GZSB2LMNrKOlj6ZyQ,11.17068811
KbnMvkYNQ1Elx4rSR10q6y2mDrJGVW,344.2292009
rjMv8OQ3kny40qZSk89Em2AepGVYbD,241.6660941
4lnQGwmg5q860PlSKV0BvjEebzoRZr,4600.603679
yaMAq4mz5XQNxaqSDGx1vPRnbD3EOW,3020.977292
BqpzWQ1EX37Z9k5SkZLPJyabVDAvM5,4.3917
6QvbPdjMEgKyxwVSlq9OV381GRzBoq,102.8850645
pRZPJGME2rVw9eESWq9BzvXn5N3dab,252.3
XylVvMQDzk53xEOSZP0roweA7J8E1G,1499.740598
NZGyKMre28boL1gSwv9YWdXJR4j3kE,3000
Yn2qB54ba7DR0A5SEa0k8ZvJ6lAeow,0.1465639273
eG6JEOgajVz79MVSaOx2RXo8yYwM4A,497.6189225
pln8kwomKj3V98PS1l9PezE7Q6DMWd,95717.03479
VD2QPOjzmeyRLY3SPV94GXZE57wbnY,254.7968555
8jvnOaZbWJ2705GSJvxg4yAdXRQYwP,3077.811143
yGwbdPR2mnDO9m2SJ4xrA35oeBE8gN,27.88671147
